time,open,high,low,close,Buy Signal,Sell Signal,Volume,Volume MA
1313539200,10.9,11.85,10.9,11.69,NaN,NaN,2.4164864,NaN
1313798400,11.7,11.7,11.7,11.7,NaN,NaN,0.19957267,NaN
1314057600,11.5,11.5,10,10,NaN,NaN,3.45652174,NaN
1314576000,8,8,8,8,NaN,NaN,1,NaN
1314835200,8,8.88,5.25,8.88,NaN,NaN,244.24,NaN
1315094400,8.89,8.89,8,8,NaN,NaN,21.20022497,NaN
1315353600,8.5,8.5,7.4,7.4,NaN,NaN,9.86,NaN
1315872000,5.8,6,5,5.13,NaN,NaN,199.6581612,NaN
1316131200,4.82,4.92,4.8,4.92,NaN,NaN,160.0268068,NaN
1316390400,4.9,5.79,4.9,5.66,NaN,NaN,126.91003306,NaN
1316649600,5.68,5.76,5.68,5.68,NaN,NaN,155.04552552,NaN
1316908800,6.05,6.06,4.8,4.92,NaN,NaN,76.15296334,NaN
1317168000,4.9,4.91,4.81,4.82,NaN,NaN,130.0178258,NaN
1317427200,4.85,4.87,4.83,4.87,NaN,NaN,30.57595,NaN
1317686400,4.86,6.25,4.8,4.8,NaN,NaN,427.08517175,NaN
1317945600,4.8,4.81,3.89,3.89,NaN,NaN,161.64,NaN
1318204800,3.99,4.51,3.93,3.93,NaN,NaN,290.103525,NaN
1318464000,3.93,4.05,3.93,4.05,NaN,NaN,206.59927865999998,NaN
1318723200,3.92,3.92,3.92,3.92,NaN,NaN,10.24,NaN
1318982400,2.22,2.29,2.22,2.27,NaN,NaN,103.43567266,117.9931859785
1319241600,2.99,2.99,2.92,2.92,NaN,NaN,64.54,121.09936165849999
1319500800,2.66,3,2.66,2.69,NaN,NaN,398.56829636,141.01779784299998
1319760000,3.07,4.4,3.07,3.5,NaN,NaN,323.19169266,157.00455638900002
1320019200,3.25,3.55,3.2,3.33,NaN,NaN,107.77116368,162.343114573
1320278400,3.27,3.55,3,3,NaN,NaN,220.59303867,161.1607665065
1320537600,2.95,3.08,2.95,3.08,NaN,NaN,250.86012389,172.64376145250003
1320796800,3.09,3.3,2.95,3.3,NaN,NaN,245.96229329,184.44887611700003
1321056000,3.35,3.35,2.47,2.47,NaN,NaN,215.67955224000002,185.24994566900006
1321315200,2.99,3,2.5,2.99,NaN,NaN,119.97690723,183.24745069050005
1321574400,2.5,2.79,2.37,2.37,NaN,NaN,148.31212355,184.31755521500003
1321833600,2.45,3,2.25,2.59,NaN,NaN,619.0201217599999,207.516285027
1322092800,2.54,15,2.5,2.77,NaN,NaN,199.02212749999998,213.65974323500004
1322352000,2.67,3.23,2.66,2.72,NaN,NaN,242.8317978,219.30044183500004
1322611200,3.19,3.48,3.04,3.04,NaN,NaN,380.07625865,236.77545726750003
1322870400,2.93,2.99,2.82,2.93,NaN,NaN,207.8632656,225.81436196000004
1323129600,2.9,3.5,2.89,3.3,NaN,NaN,565.0362162900001,245.98417277450002
1323388800,3.2,3.37,3,3.27,NaN,NaN,170.06326984,239.98216001650007
1323648000,3.37,3.6,3.25,3.47,NaN,NaN,232.53426087,241.27890912700008
1323907200,3.39,3.5,3.25,3.44,NaN,NaN,187.35502997999998,250.13466062600008
1324166400,3.25,4.75,3.25,4.55,NaN,NaN,246.72050249,257.2989021175001
1324425600,4.38,4.38,3.84,4.22,NaN,NaN,178.92736965,263.01827060000016
1324684800,4.33,4.33,4.27,4.33,NaN,NaN,108.14382282,248.49704692300014
1324944000,4.33,4.5,4.25,4.5,NaN,NaN,130.18494614999997,238.84670959750014
1325203200,4.26,4.58,4.21,4.58,NaN,NaN,152.05792779,241.06104780300012
1325376000,4.58,5.32,4.58,5.29,NaN,NaN,128.68728092,236.46575991550012
1325635200,4.93,6.9,4.93,6,NaN,NaN,235.9178362,235.71864553100013
1325894400,6.8,7,6.23,6.3,NaN,NaN,72.16518089,227.0287899110001
1326153600,6.24,7.38,6.24,6.51,NaN,NaN,249.95054601,228.7423395995001
1326412800,6.8,7.36,6.3,7.15,NaN,NaN,82.50544554,226.86876651500015
1326672000,6.2,7.1,5.99,7.1,NaN,NaN,226.61007313,230.78366399400016
1326931200,5.52,7,5.52,6.77,NaN,NaN,423.95566999,221.0304414055002
1327190400,6.79,6.83,6,6.55,NaN,NaN,261.63790359,224.16123021000016
1327449600,6.26,6.86,3.8,5.88,NaN,NaN,203.12231985,222.1757563125002
1327708800,4.91,5.9,4.91,5.58,NaN,NaN,24.86484643,204.4151857015002
1327968000,5.7,6.28,3.8,6.28,NaN,NaN,373.56306963,212.70017590300023
1328227200,6.29,6.5,5.6,5.6,NaN,NaN,271.03787125,198.0002586510002
1328486400,5.6,5.9,5.2,5.87,NaN,NaN,278.1557774,203.40488402900021
1328745600,5.52,5.89,5.5,5.5,NaN,NaN,262.4131803,204.89883000050017
1329004800,5.78,5.8,4.56,4.89,NaN,NaN,292.9728057,210.1797187865002
1329264000,4.9,5.08,4.15,4.67,NaN,NaN,428.08337588000006,219.24786245600018
1329523200,4.67,4.73,4.14,4.44,NaN,NaN,663.01304996,243.45214647150016
1329782400,4.52,5.22,4.3,5.22,NaN,NaN,1148.60197718,295.47505418950016
1330041600,5.12,5.22,4.78,4.98,NaN,NaN,198.30451933,298.8810328485002
1330300800,4.97,5.1,4.71,4.99,NaN,NaN,991.53154753,340.8547138355002
1330560000,4.99,5.05,4.6,4.65,NaN,NaN,663.05660804,367.5731801915002
1330819200,4.78,5.06,4.77,4.98,NaN,NaN,928.2909092500001,402.1918338440002
1331078400,5.05,5.09,4.87,4.93,NaN,NaN,977.64757918,447.4659537585002
1331337600,4.91,5,4.84,4.99,NaN,NaN,247.49313432000002,447.3430831740002
1331596800,4.99,5.44,4.96,5.39,NaN,NaN,2497.56506929,568.0960643615001
